Document_Number,Subject,Status,Category,Topics,Title,Content,Measure,Year,ATCM,Feature,City,TRUE,FALSE
211,Environmental Monitoring and Data Management,Did not enter into effect. Withdrawn:D 3 (2017),Environmental protection,Environmental protection,"Recommendation XVII-1 (ATCM XVII - Venice, 1992)","ENVIRONMENTAL MONITORING AND DATA MANAGEMENTThe Representatives,Recalling Recommendations XV-5, XV-16, XVI-12 and paragraphs 106-109 of the Report of the XVIth ATCM;Noting the report and the valuable work of the First Meeting of Experts on Environmental Monitoring in Antarctica (XVII ATCM/INFO 9) and the recommendations set forth in the afore mentioned report;Noting that better data management can improve the quality of Antarctic Environmental Monitoring, operations and science;Noting additionally the report by SCAR-COMNAP (XVII ATCM/WP 5) describing actions that could be taken to develop a coordinated data management system with the intent to improve the comparability and accessibility of both scientific and environmental data being collected by national programmes, as called for by ATCM Recommendations XIII-5 and XV-16.Recognizing that, in the Final Act of the Protocol on Environmental Protection to the Antarctic Treaty, it was agreed that it was desirable to ensure effective implementation at an early date; and that paragraph 69 of the Report of the XVIth ATCM exhorts the Consultative Parties to ratify the Protocol as soon as possible, and that meanwhile efforts also should be made to implement the provisions of the Annexes as rapidly and completely as possible.Acknowledging that in order to meet the requirements of the Protocol on Environmental Protection to the Antarctic Treaty that calls, under Articles 3.2 (d) and 3.2 (e), for regular and effective monitoring, to allow assessment of the adverse impacts of human activities, it is necessary to focus environment impact monitoring particularly on anthropogenic effects at a local level;Aware that once established, the Committee for Environmental Protection may offer its advice on these measures, consistent with its terms of reference as provided for in the Protocol;Aware that applied monitoring can be expensive and may require long term commitment and that any environmental monitoring should be scientifically defensible, practicable and cost-effective;Recommend to their Governments that they:1.  Through their SCAR National Committees request SCAR to consider and provide advice on:(i) The types of long-term programmes, if any, necessary to verify that human activities (such as tourism, scientific research or other activities) do not have significant adverse effects on birds, seals and plants; and(ii) emission standards that should be established to ensure that the combustion of fossil fuels and incineration of waste do not contaminate the Antarctic atmosphere, terrestrial, ice, aquatic or marine environments in a way that would compromise their scientific values;2.  Ask their COMNAP Representatives in consultation with SCAR to establish research programmes at a representative subset of facilities in Antarctica to determine how different types and sizes of facilities in different localities (eg. coastal and inland stations on rocks and on ice shelves) affect the Antarctic environment;3.  Provide a list of the Antarctic data sets being compiled and archived by their nationals and make this list available to other Parties, SCAR and COMNAP, as soon as possible, to form the basis for the development of an Antarctic Data Directory;4.  Establish, as appropriate, national arrangements for obtaining expert advice on the types of data products and data access mechanisms which would best meet both the basic scientific requirements and long-term environmental monitoring requirements.",,1992,ATCM XVII,,,"Argentina, Australia, Belgium, Brazil, Chile, China, Ecuador, Finland, France, Germany, India, Italy, Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Czechia, Japan, Korea (ROK), Ukraine"
210,Intersessional meeting on tourism,Did not enter into effect. Spent:D 3 (2002),Tourism and Non-Governmental Activities,Tourism and Non-Governmental Activities,"Recommendation XVI-13 (ATCM XVI - Bonn, 1991)","TOURISM AND NON-GOVERNMENTAL ACTIVITIES IN THE ANTARCTIC TREATY AREAThe Representatives,Bearing in mind that the XVth Consultative Meeting agreed that a comprehensive review of tourism and non-governmental activities was required;Noting that the Protocol on Environmental Protection to the Antarctic Treaty and its Annexes apply to tourist and non-governmental activities in Antarctica;Recalling that the XIth Special Consultative Meeting asked the XVIth Consultative Meeting to address the issue of tourism and non-governmental activities;Acknowledging that the Protocol constitutes the framework for further progress in Antarctic environmental protection;Concerned about the possible effect of increased tourism and non-governmental activities in Antarctica;Conscious of the need to ensure that the presence of tourists and other visitors in Antarctica be regulated so as to limit adverse impacts on the Antarctic environment and on Antarctic science;Recommend to their Governments that:(i)  An informal meeting of the Parties be convened with a view to making proposals to the XVIIth Consultative Meeting on the question of a comprehensive regulation of tourist and non-governmental activities in Antarctica in accordance with the Protocol and taking into account the proposals made at the present XVIth Consultative Meeting, including proposals for a future Annex to the Protocol on Environmental Protection;(ii)  Prior to the convening of that meeting and in order to ensure due preparation of its work, proposals should be prepared by them taking into account the list of issues stated below, which the meeting should, inter alia, primarily address:a) environmental issues- implementation of the Protocol on Environmental Protection and its Annexes- number of tourists / carrying capacity- homologation of standards relating to vessels- permanent infrastructure for tourists- concentration / dispersal of tourist activities- access to unexplored areas;b) operational issues- notification and expansion of information to be exchanged- system for granting permission to visit stations- self-sufficiency- insurance, including search and rescue insurance- information obligation of Parties- preparation and training of tour guides, and visitors’ guides- examination of the need for specific kinds of control and monitoring- requirements for organisational procedures;(iii)  The meeting shall begin its work in Venice on 9 November 1992;(iv)  Representatives of the WTO, IUCN, IAATO, IMO, ASOC, PATA, SCAR and COMNAP be invited to attend the Meeting as observers.",,1991,ATCM XVI,,,"Argentina, Australia, Belgium, Brazil, Chile, China, Finland, France, Germany, India, Italy, Korea (ROK), New Zealand, Norway, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Czechia, Ecuador, Japan, Netherlands, Peru, Ukraine"
208,"Historic Monuments 56 (Waterboat Point), 57 (Yankee Bay), 58 (Whalers Bay), 59 (Half Moon Beach)",Did not enter into effect. No longer current:M 3 (2003),Historic Sites and MonumentsArea protection and management,Historic Sites and MonumentsArea protection and management,"Recommendation XVI-11 (ATCM XVI - Bonn, 1991)","ANTARCTIC PROTECTED AREA SYSTEMNEW HISTORIC SITES AND MONUMENTSThe Representatives,Recalling Recommendations I-IX, V-4, VI-14, VII-9, XII-7, XIII-16 and XIV-8;Recommend to their Governments that the following historic sites (monuments) be added to the ""List of Historic Monuments Identified and Described by the Proposing Government or Governments"" annexed to Recommendation VII-9 and that thereafter they be accorded the respect and protection required by the Recommendations recalled above:56.  Waterboat Point, Danco Coast, Antarctic Peninsula (64°49'S, 62°52'W).  The remains and immediate environs of the Waterboat Point hut, situated close to the unoccupied Chilean station, ‘President Gabriel González Videla’.  The Waterboat Point hut, of which only the base of the boat, roots of door posts and an outline of the hut and extension still exist, was occupied by the UK two-man expedition of Bagshawe and Lester in 1921-22.  This was, and indeed remains, the smallest expedition ever to overwinter in Antarctica.57.  Commemorative plaque at Yankee Bay, MacFarlane Strait, Greenwich Island, South Shetland Islands, near the Chilean refuge located at latitude 62°32'S and longitude 59°45'W, to the memory of Captain Robert MacFarlane, who in 1820 explored the Antarctic Peninsula Area in the brigantine Dragón.58.  Cairn with memorial plaque erected at Whalers’ Bay, Deception Island, South Shetland Islands, in the vicinity of the whalers' cemetery (Historic Monument No. 31) 62°59'S, 60°34'W, to honour Captain Adolfus Amandus Andresen, Antarctic pioneer, who was first to establish a whaling operation at Deception Island in 1906.59.  A cairn on Half Moon beach, Cape Shirreff, Livingston Island, South Shetland Islands, commemorating the officers, soldiers and seamen on board the San Telmo, which sank in September 1819; possibly the first people to live and die in the wastes of Antarctica.",,1991,ATCM XVI,,,"Argentina, Australia, Belgium, Brazil, Chile, China, Finland, France, Germany, India, Italy, Japan, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Czechia, Ecuador, Ukraine"
206,Designation of SPA 23 (Forlidas and Davis Valley Ponds),Did not enter into effect. Withdrawn:M 6 (2010),Area protection and management,Area protection and management,"Recommendation XVI-9 (ATCM XVI - Bonn, 1991)","ANTARCTIC PROTECTED AREA SYSTEMSPECIALLY PROTECTED AREA NO. 23FORLIDAS POND AND DAVIS VALLEY PONDSThe Representatives,Recalling Recommendations XV-8 and XV-9;Noting that a Management Plan has been prepared and approved by the Scientific Committee on Antarctic Research (SCAR);Considering that the Area contains some of the most southerly freshwater ponds known in Antarctica containing plant life, and that these ponds and their immediate catchments should be protected as examples of unique near-pristine ecosystems which should be afforded maximum protection from human influence;Recommend to their Governments that the following Area of outstanding scientific interest be inserted in Annex B, Specially Protected Areas, of the Agreed Measures for the Conservation of Antarctic Fauna and Flora, together with the annexed Management Plan:Specially Protected Area No. 23Forlidas Pond and Davis Valley Ponds, situated near the east end of the Dufek Massif at position 82°27'15""S, 51°21'W. The Area includes smaller ponds that occur along the ice margin at the northern edge of Davis Valley, a short distance east of Forlidas Pond.",,1991,ATCM XVI,,,"Argentina, Australia, Belgium, Brazil, Chile, China, Finland, France, Germany, India, Italy, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United States, Uruguay","Bulgaria, Czechia, Ecuador, Japan, Ukraine, United Kingdom"
205,Designation of SPA 22 (Cryptogam Ridge),Did not enter into effect. No longer current:D 1 (2011),Area protection and management,Area protection and management,"Recommendation XVI-8 (ATCM XVI - Bonn, 1991)","ANTARCTIC PROTECTED AREA SYSTEMSPECIALLY PROTECTED AREA NO. 22CRYPTOGAM RIDGE; MOUNT MELBOURNE, VICTORIA LANDThe Representatives,Recalling Recommendations XV-8 and XV-9;Noting that a Management Plan has been prepared and approved by the Scientific Committee on Antarctic Research (SCAR);Considering that Cryptogam Ridge on the southern rim of the main summit crater of Mount Melbourne includes areas of geothermal activity which are ice-free and surrounded by numerous ice hummocks and scattered ice towers, and that the geothermal ground supports a unique community of bryophytes, algae and microbiota including very rare species, and that this fragile habitat is of exceptional biological interest and, to maintain its unique pristine state, should be afforded maximum protection from human influence;Recommend to their Governments that the following area of outstanding scientific interest be inserted in Annex B, Specially Protected Areas, of the Agreed Measures for the Conservation of Antarctic Fauna and Flora, together with the annexed Management Plan:Specially Protected Area No. 22Cryptogam Ridge, Mount Melbourne, Victoria Land. Mount Melbourne (74°21'S, 164°42'E) lies between Wood Bay and Campbell Glacier, northern Victoria Land, on the western side of the Ross Sea.",,1991,ATCM XVI,,,"Argentina, Australia, Belgium, Brazil, Chile, China, Finland, France, Germany, India, Italy, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United States, Uruguay","Bulgaria, Czechia, Ecuador, Japan, Ukraine, United Kingdom"
204,"Extension of expiry dates for SSSI 4 (Cape Crozier), 5 (Fildes Peninsula), 7 (Haswell Island), 10 (Caughley Beach), 11 (Tramway Ridge), 12 (Canada Glacier) 18 (White Island) and 22 (Yukidori Valley)",Did not enter into effect. No longer current:D 1 (2011),Area protection and management,Area protection and management,"Recommendation XVI-7 (ATCM XVI - Bonn, 1991)","ANTARCTIC PROTECTED AREA SYSTEMSITES OF SPECIAL  SCIENTIFIC INTEREST:EXTENSION OF DESIGNATIONThe Representatives,Recalling Recommendations VIII-3, VIII-4, XII-5 and XIII-7;Noting that:(1) in accordance with paragraph 2 of Recommendation VIII-3, the Scientific Committee on Antarctic Research (SCAR), at its Twenty-First Meeting at Sao Paulo, Brazil (24-27 July 1990) had reviewed the eight Sites of Special Scientific Interest designated in Recommendations VIII-4, XIII-8 and XIV-5;(2) experience of the practical effect of the Management Plans for these sites has shown them to be an effective means of reducing the risks of harmful interference in areas of special scientific interest;(3) no changes to the Management Plans of these sites had been proposed by SCAR.Recommend to their Governments that:(i) The date of expiry of designation of Sites:No. 4 - Cape Crozier, Ross Island;No. 5 - Fildes Peninsula, King George Island, South Shetland Islands;No. 7 - Haswell Island;No. 10 - Caughley Beach, Cape Bird, Ross Island;No. 11 - Tramway Ridge, Mt Erebus, Ross Island;No. 12 - Canada Glacier, Lake Fryxell, Taylor Valley, Victoria Land;No. 18 - North-West White Island, McMurdo Soundbe extended to 31 December 2001; and that,(ii) The date of expiry of designation of Site:No. 22 - Yukidori Valley, Langhovde, Lutzow-Holm Bay be extended to 31 December 2003.(iii) They use their best endeavours to ensure, in accordance with paragraphs 3 and 4 of Recommendation VIII-3, that the Management Plans of these Sites are observed.",,1991,ATCM XVI,,,"Argentina, Australia, Belgium, Brazil, Chile, China, Finland, France, Germany, India, Italy, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Czechia, Ecuador, Japan, Ukraine"
203,"Management plans for SPA 8 (Dion Islands), 9 (Green Island), 13 (Moe Island), 14 (Lynch Island), 15 (Powell Island), 16 (Coppermine Peninsula), 18 (Coronation Island) and 19 (Lagotellerie Island).",Did not enter into effect. Withdrawn:D 3 (2017),Area protection and management,Area protection and management,"Recommendation XVI-6 (ATCM XVI - Bonn, 1991)","ANTARCTIC PROTECTED AREA SYSTEMSPECIALLY PROTECTED AREASREVISED DESCRIPTIONS AND PROPOSED MANAGEMENT PLANS FOR SPECIALLY PROTECTED AREASThe Representatives,Recalling Recommendation XV-8 and XV-9;Noting that revised Area Descriptions and proposed Management Plans have been approved by the Scientific Committee on Antarctic Research (SCAR);Recommend to their Governments that for the Specially Protected Sites listed below:i. the Descriptions inserted in Annex B, Specially Protected Areas, of the Agreed Measures for the Conservation of Antarctic Fauna and Flora be deleted;ii. that the Descriptions and Management Plans of Specially Protected Areas, annexed to this Recommendation, be inserted in Annex B, Specially Protected Areas, of the Agreed Measures for the Conservation of Antarctic Fauna and Flora.The Specially Protected Areas involved are:Site No. 8: Dion Islands, Marguerite Bay, Antarctic PeninsulaSite No. 9: Green Island, Berthelot Islands, Antarctic PeninsulaSite No. 13: Moe Island, South Orkney IslandsSite No. 14: Lynch Island, South Orkney IslandsSite No. 15: Southern Powell Island, and adjacent islands, South Orkney IslandsSite No. 16: Coppermine Peninsula, Robert Island, South Shetland IslandsSite No. 18: North Coronation Island, South Orkney IslandsSite No. 19: Lagotellerie Island, Marguerite Bay, Antarctic Peninsula",,1991,ATCM XVI,,,"Argentina, Australia, Belgium, Brazil, Chile, China, Ecuador, Finland, France, Germany, India, Italy, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United States, Uruguay","Bulgaria, Czechia, Japan, Ukraine, United Kingdom"
202,Revised management plan for SSSI 6 (Byers peninsula),Did not enter into effect. No longer current:D 1 (2011),Area protection and management,Area protection and management,"Recommendation XVI-5 (ATCM XVI - Bonn, 1991)","ANTARCTIC PROTECTED AREA SYSTEMSITES OF SPECIAL SCIENTIFIC INTEREST: INTERIM GUIDELINESSITE OF SPECIAL SCIENTIFIC INTEREST NO. 6, BYERS PENINSULA, LIVINGSTONE ISLAND, SOUTH SHETLAND ISLANDSThe Representatives,Recalling Recommendation VIII-4 and the Management Plan for Site of Special Scientific Interest No. 6: Byers Peninsula, Livingston Island, South Shetland Islands, annexed thereto;Noting that at its Twenty-First Meeting the Scientific Committee on Antarctic Research (SCAR), held at Sao Paulo, Brazil (24-27 July 1990), reviewed the Management Plan and scientific interest of SSSI No. 6: Byers Peninsula, Livingston Island, South Shetland Islands;Recommend to their Governments that:(i) the Management Plan for Site of Special Scientific Interest No. 6: Byers Peninsula, Livingston Island, South Shetland Islands, annexed to Recommendation VIII-4 be terminated;(ii) they voluntarily take account of the Management Plan, annexed to this Recommendation, for Site No. 6: Byers Peninsula, Livingston Island, South Shetland Islands.",,1991,ATCM XVI,,,"Argentina, Australia, Belgium, Brazil, Chile, China, Ecuador, Finland, France, Germany, India, Italy, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Czechia, Japan, Ukraine"
201,Redesignation of SSSI 30 (Avian Island) as SPA 21,Did not enter into effect. No longer current:D 1 (2011),Area protection and management,Area protection and management,"Recommendation XVI-4 (ATCM XVI - Bonn, 1991)","ANTARCTIC PROTECTED AREA SYSTEMSPECIALLY PROTECTED AREASRE-DESIGNATION OF SITE OF SPECIAL SCIENTIFIC INTEREST NO. 30,  AVIAN ISLAND, MARGUERITE BAY, ANTARCTIC PENINSULA AS SPECIALLY PROTECTED AREA NO. 21The Representatives,Recalling Recommendation XV-8 and XV-9;Noting that a Management Plan has been approved by the Scientific Committee on Antarctic Research (SCAR);Considering that Avian Island, together with its littoral zone is unique in the Antarctic Peninsula region for its abundance and diversity of breeding seabirds, including Adélie Penguins, Blue-eyed Shags, Giant Petrels, Dominican Gulls, South Polar Skuas and Wilson's Petrels, and that the colony of Adélie Penguins is the largest on the Antarctic Peninsula, and that other species are at or near the southern limits of their breeding range, and that the island is vulnerable to visits by tourists, and uncontrolled personnel;Recommend to their Governments that:(i) the designation of Avian Island as Site of Special Scientific Interest No. 30 under Recommendations VIII-3 and VIII-4 be terminated;(ii) the number 30 should not be used for another Site of Special Scientific Interest;(iii) the following area of outstanding ornithological interest be inserted in Annex B, Specially Protected Areas, of the Agreed Measures for the Conservation of Antarctic Fauna and Flora (1964), along with the Management Plan accompanying the description of the said Specially Protected Area:Specially Protected Area No. 21Avian Island, Marguerite Bay, Antarctic Peninsula (67°46'S, 68°54'W).",,1991,ATCM XVI,,,"Argentina, Australia, Belgium, Brazil, Chile, China, Finland, France, Germany, India, Italy, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United States, Uruguay","Bulgaria, Czechia, Ecuador, Japan, Ukraine, United Kingdom"
200,"Designation of SSSI 35 (Bransfield Strait), 36 (Dallmann Bay)",Did not enter into effect. Withdrawn:M 10 (2009),Area protection and management,Area protection and management,"Recommendation XVI-3 (ATCM XVI - Bonn, 1991)","ANTARCTIC PROTECTED AREA SYSTEMNEW MARINE SITES OF SPECIAL SCIENTIFIC INTERESTThe Representatives,Recalling Article II of the Antarctic Treaty, Recommendations VII-3, VIII-3 and XIV-6;Noting that Management Plans have been prepared and approved by the Scientific Committee on Antarctic Research (SCAR) for two Marine Sites of Special Scientific Interest;Considering that it would be advantageous to gather experience of the practical effect of the Management Plans prepared for these Sites;Recommend to their Governments that they voluntarily take account of the Management Plans, annexed to this Recommendation, for the following Sites:No.35  Western Bransfield Strait, off Low Island, South Shetland Islands;No.36  East Dallmann Bay, off Brabant Island.",,1991,ATCM XVI,,,"Argentina, Australia, Belgium, Brazil, Chile, China, Finland, France, Germany, India, Italy, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Czechia, Ecuador, Japan, Ukraine"
191,Commemorative stamp issue,Did not enter into effect. Spent:D 3 (2002),General matters,General matters,"Recommendation XV-22 (ATCM XV - Paris, 1989)","ANTARCTIC TREATY THIRTIETH ANNIVERSARY COMMEMORATIVE STAMP ISSUEThe Representatives,Recommend to their Governments that:1.  On the occasion of the Thirtieth Anniversary of the entry into force of the Antarctic Treaty, each Consultative party should issue a commemorative stamp (or stamps) on a common date in 1991 (e.g. 23 June 1991).2.  The stamp (or stamps) should bear, in the language or languages of each issuing country, the following words :""Antarctic Treaty 1961-1991""3.  Consideration be given to the themes of protecting the Antarctic environment and international cooperation in Antarctic scientific research for the most prominent features of the design.4.  There should be incorporated into the design of the stamp (or stamps), the Antarctic Treaty emblem representing a map of Antarctica which appears on the official documents of Consultative Meetings.5.  Any additional matter should be consonant with the provisions and the spirit of the Antarctic Treaty.6. The number of stamps to be issued and the denominations of the stamp or stamps should remain at the discretion of the issuing country.",,1989,ATCM XV,,,"Argentina, Australia, Belgium, Brazil, Chile, China, Finland, France, India, Italy, Japan, Korea (ROK), New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Czechia, Ecuador, Germany, Netherlands, Ukraine"
188,Hydrographic survey and charting,Did not enter into effect. No longer current:D 1 (2014),Operational mattersEnvironmental protection,Operational mattersEnvironmental protection,"Recommendation XV-19 (ATCM XV - Paris, 1989)","COOPERATION IN THE HYDROGRAPHIC CHARTING OF ANTARCTIC WATERSThe Representatives,Recognising the importance and historical values of activities carried out by the countries who developed the present knowledge of Antarctic hydrography;Aware that there have been significant increases in both the number and size of vessels operating in Antarctic waters in recent years;Recognising that severe environmental conditions in the Antarctic give rise to particular risks for shipping and hydrographic activities;Recognising that the sea ice conditions can lead to the diversion of shipping from acknowledged routes, thus requiring the extension of charting into waters contiguous to such routes;Conscious that the safety of life at sea and the protection of the Antarctic marine environment and dependent and associated ecosystems requires that the Consultative Parties should take all possible steps open to them, by improving the charting of Antarctic waters, to ensure the safety of navigation so that maritime accidents are reduced to a minimum;Recognising that the resources available to devote to hydrographic surveys and the accurate positioning and depiction of the Antarctic coastline are scarce;Conscious of the benefits to be gained by making provision for international cooperation between those countries which undertake hydrographic surveys and nautical charting of Antarctic waters and of utilising to the maximum extent cooperative arrangements which already exist routinely between hydrographic offices and, therefore, of the need to avoid the establishment of a parallel system;Aware of the role traditionally played by the International Hydrographic Organization (IHO) in contributing to cooperation between hydrographic offices, and by the Scientific Committee on Antarctic Research (SCAR) in all cartographic and other scientific activities in Antarctica;Recommend to their Governments that :1.  They increase their mutual cooperation in the hydrographic survey and charting of Antarctic waters in order to contribute to the safety of navigation, the protection of the Antarctic environment and dependent and associated ecosystems, and for scientific purposes.2.  For the purposes of hydrographic survey and charting and associated terrestrial surveys and mapping, they coordinate their activities within the framework of IHO and SCAR, as appropriate.",,1989,ATCM XV,,,"Argentina, Australia, Belgium, Brazil, Chile, China, Finland, France, Germany, India, Italy, Japan, Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Czechia, Ecuador, Korea (ROK), Ukraine"
187,Meteorological and sea ice information services,Did not enter into effect. No longer current:D 1 (2014),Operational matters,Operational matters,"Recommendation XV-18 (ATCM XV - Paris, 1989)","COOPERATION IN METEOROLOGICAL AND SEA ICE INFORMATION SERVICES FOR MARITIME AND AIR NAVIGATION IN ANTARCTICAThe Representatives,Recalling Article II of the Antarctic Treaty and the Recommendations relating to cooperation in Antarctic logistics (II-V, III-III, IV-25) as well as Recommendation XIV-10 on the marine meteorological and sea ice information service;Having regard to the continuing occurrence of hazardous situations leading to loss of or damage to ships in the Treaty Area,Noting the report of a SCAR/WMO/IOC group of experts meeting;Taking into account the results of discussion on Recommendation XIV-9 concerning air safety in Antarctica, revealing the urgent necessity to improve meteorological information for flights in the area of the Antarctic;Wishing to act to increase the efficiency and safety of maritime and air navigation in the Treaty area on the basis of international cooperation;Recommend to their Governments that:1.  They continue to consider ways of developing and improving meteorological and sea ice information services for maritime and air navigation in the Antarctic Treaty area;2.  The report of the Leningrad group of experts meeting be referred to the WMO Working Group on Antarctic Meteorology for formal consideration and comment at its next meeting.3.  Upon completion of the review by the WMO Working Group on Antarctic Meteorology the matter be considered by COMNAP, in association with SCAR, for the purpose of recommending any appropriate further joint, or individual action to the next Consultative Meeting.4.  In order to assist in improving meteorological services to maritime and air navigation, they take prompt measures to participate in the IGOSS, drifting-buoy and automatic weather station programmes to provide maximum data for international exchange and operational use.",,1989,ATCM XV,,,"Argentina, Australia, Belgium, Brazil, Chile, China, Finland, France, Germany, India, Italy, Japan, Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Czechia, Ecuador, Korea (ROK), Ukraine"
185,Development of data systems,Did not enter into effect. Withdrawn:D 3 (2017),Scientific cooperation,Scientific cooperation,"Recommendation XV-16 (ATCM XV - Paris, 1989)","FACILITATION OF SCIENTIFIC RESEARCH:COMPARABILITY AND ACCESSIBILITY OF ANTARCTIC SCIENTIFIC DATAThe Representatives,Recalling:(a)  Article III (1) (c) of the Antarctic Treaty calling on Parties to exchange and make freely available scientific observations and results from Antarctica;(b)  Recommendation XIII-5 inviting the Scientific Committee on Antarctic Research (SCAR) to offer scientific advice on how to improve the comparability and accessibility of Antarctic scientific data; and(c)  that the Report of the XIVth Consultative Meeting identified determination of types of useful data for management and assessment and the development of a directory as two important initial steps to improve data comparability and accessibility;Noting that:(a)  the Report of XX SCAR responds to Recommendation XIII-5 by describing several steps needed for the establishment of an Antarctic data system and by calling for the establishment of a committee on data  management to advise on the development of such a system;(b)  SCAR has established such a committee with the following terms of reference:(i)  to determine the requirements within SCAR for a coordinated approach to data;(ii)  to consider the possible compilation of a SCAR directory of available items, data bases, geographical information systems, data centres, specimen holdings, relevant archives and bibliographic collections;(iii)  to consider the formation of guidelines for common or minimum formats for data collection and archiving; and(iv)  to suggest areas for coordination with external activities or organisations;(c)  the Report of XX SCAR identifies the development of national directories of Antarctic data as the logical first step in the development of a data system;Desiring:(a)  to improve the accessibility and comparability of Antarctic scientific data to help give effect to Article III (1) (c) of the Antarctic Treaty; and(b)  to create an Antarctic scientific data system for use in facilitating environmental assessment and monitoring and the promotion of scientific research;Recommend to their Governments that:1.  They develop and make available to SCAR and other Antarctic Treaty Parties a directory listing where and in what format Antarctic scientific data now exist.2.  They agree, working in cooperation with the SCAR Committee to compile an Antarctic Scientific Data Directory.3.  They agree to assist the SCAR Committee to develop a programme of work describing further steps needed to create an Antarctic Scientific and Environmental Data System, including consideration of relevant technologies.4.  Upon completion of the draft programme of work developed by SCAR, in cooperation with relevant governmental experts, they convene, in accordance with Recommendation IV-24, a Meeting of Experts, with expertise in data management, to consider how to establish an Antarctic Scientific and Environmental Data system.",,1989,ATCM XV,,,"Argentina, Australia, Belgium, Brazil, Chile, China, Finland, France, Germany, India, Italy, Japan, Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Czechia, Ecuador, Korea (ROK), Ukraine"
